Variable,"CT980010, Los Angeles County, CA","CT197700, Los Angeles County, CA","CT197600, Los Angeles County, CA","CT197500, Los Angeles County, CA","CT195720, Los Angeles County, CA","CT197410, Los Angeles County, CA","CT197300, Los Angeles County, CA","CT197420, Los Angeles County, CA","CT197200, Los Angeles County, CA","CT187200, Los Angeles County, CA"
"# Housing, Occupied Units, 2000",N/A,1780,916,1623,974,1191,1670,1296,1556,800
"# Housing, Occupied Units, 2008",N/A,1875,945,1715,1054,1206,1687,1371,1522,798
"# Housing, Occupied Units, 2009",N/A,1927,951,1749,1050,1187,1707,1394,1508,780
"# Housing, Occupied Units, 2010",58,1798,871,1499,825,1593,1665,1292,1106,860
"# Housing, Occupied Units, 2011",58,1820,882,1503,833,1593,1664,1299,1102,864
"# Housing, Occupied Units, 2012",57,1806,888,1524,837,1605,1677,1303,1119,873
"# Housing, Occupied Units, 2013",59,1844,897,1533,849,1613,1677,1300,1117,871
"# Housing, Occupied Units, 2014",61,1863,880,1521,853,1613,1684,1304,1128,882
"# Housing, Occupied Units, 2015",59,1850,895,1540,840,1639,1724,1330,1143,888
"# Housing, Occupied Units, 2016",59,1840,891,1542,839,1619,1714,1343,1148,891
"# Housing, Occupied Units, 2019",63,1939,916,1583,889,1679,1752,1358,1175,918
"# Housing, Occupied Units, 2020",62,1938,939,1614,880,1720,1806,1396,1197,932
"# Housing, Occupied Units, 2021",62,1921,931,1610,876,1693,1793,1402,1199,931
"# Vacant Units, 2000",N/A,105,76,136,58,86,89,76,81,37
"# Vacant Units, 2008",N/A,98,71,129,56,77,80,72,70,34
"# Vacant Units, 2009",N/A,98,68,127,54,74,76,70,66,30
"# Vacant Units, 2010",2,135,86,153,57,129,121,99,55,57
"# Vacant Units, 2011",2,141,90,159,60,135,126,103,57,59
"# Vacant Units, 2012",2,149,95,169,63,142,134,109,60,62
"# Vacant Units, 2013",2,157,99,177,66,149,140,115,64,66
"# Vacant Units, 2014",2,144,92,163,61,138,130,106,59,61
"# Vacant Units, 2015",2,141,90,159,59,134,125,103,57,59
"# Vacant Units, 2016",2,135,86,153,57,129,121,99,55,57
"# Vacant Units, 2019",2,149,95,169,63,143,134,110,60,63
"# Vacant Units, 2020",2,133,85,151,57,127,120,98,55,57
"# Vacant Units, 2021",2,135,86,154,57,129,121,99,55,57
"# Housing, Owner Occupied, 2000",N/A,301,146,280,173,601,418,335,781,359
"# Housing, Owner Occupied, 2008",N/A,348,168,324,206,642,454,386,809,382
"# Housing, Owner Occupied, 2009",N/A,336,159,311,192,608,434,372,773,358
"# Housing, Owner Occupied, 2010",19,318,170,273,140,795,413,380,575,392
"# Housing, Owner Occupied, 2011",20,264,227,357,109,799,463,417,430,329
"# Housing, Owner Occupied, 2012",19,314,169,272,139,792,408,378,574,392
"# Housing, Owner Occupied, 2013",19,314,169,269,138,788,401,371,568,387
"# Housing, Owner Occupied, 2014",19,309,162,261,135,774,393,364,565,386
"# Housing, Owner Occupied, 2015",18,305,163,260,131,782,400,366,569,385
"# Housing, Owner Occupied, 2016",18,302,162,260,132,771,397,370,570,386
"# Housing, Owner Occupied, 2019",19,312,163,262,136,790,398,367,577,392
"# Housing, Owner Occupied, 2020",19,312,167,266,135,809,411,378,588,399
"# Housing, Owner Occupied, 2021",19,307,164,265,133,789,403,376,583,395
"# Housing, Renter Occupied, 2000",N/A,1479,770,1343,801,590,1252,961,775,441
"# Housing, Renter Occupied, 2008",N/A,1527,777,1391,848,564,1233,985,713,416
"# Housing, Renter Occupied, 2009",N/A,1591,792,1438,858,579,1273,1022,735,422
"# Housing, Renter Occupied, 2010",38,1531,643,1139,715,785,1195,872,669,528
"# Housing, Renter Occupied, 2011",38,1556,655,1146,724,794,1201,882,672,535
"# Housing, Renter Occupied, 2012",38,1492,719,1252,698,813,1269,925,545,481
"# Housing, Renter Occupied, 2013",40,1530,728,1264,711,825,1276,929,549,484
"# Housing, Renter Occupied, 2014",42,1554,718,1260,718,839,1291,940,563,496
"# Housing, Renter Occupied, 2015",41,1545,732,1280,709,857,1324,964,574,503
"# Housing, Renter Occupied, 2016",41,1538,729,1282,707,848,1317,973,578,505
"# Housing, Renter Occupied, 2019",44,1627,753,1321,753,889,1354,991,598,526
"# Housing, Renter Occupied, 2020",43,1626,772,1348,745,911,1395,1018,609,533
"# Housing, Renter Occupied, 2021",43,1614,767,1345,743,904,1390,1026,616,536
"# Housing, Units, 2000",N/A,1885,992,1759,1032,1277,1759,1372,1637,837
"# Housing, Units, 2008",N/A,1973,1016,1844,1110,1283,1767,1443,1592,832
"# Housing, Units, 2009",N/A,2025,1019,1876,1104,1261,1783,1464,1574,810
"# Housing, Units, 2010",60,1933,957,1652,882,1722,1786,1391,1161,917
"# Housing, Units, 2011",60,1961,972,1662,893,1728,1790,1402,1159,923
"# Housing, Units, 2012",59,1955,983,1693,900,1747,1811,1412,1179,935
"# Housing, Units, 2014",63,2007,972,1684,914,1751,1814,1410,1187,943
"# Housing, Units, 2013",61,2001,996,1710,915,1762,1817,1415,1181,937
"# Housing, Units, 2015",61,1991,985,1699,899,1773,1849,1433,1200,947
"# Housing, Units, 2016",61,1975,977,1695,896,1748,1835,1442,1203,948
