Variable,"CT187200, Los Angeles County, CA","CT197200, Los Angeles County, CA","CT197420, Los Angeles County, CA","CT197300, Los Angeles County, CA","CT197410, Los Angeles County, CA","CT195720, Los Angeles County, CA","CT197500, Los Angeles County, CA","CT197600, Los Angeles County, CA","CT197700, Los Angeles County, CA","CT980010, Los Angeles County, CA","CT187300, Los Angeles County, CA"
"# Households w/ Income $200000 and Over, 2000",0,38,0,28,62,0,30,13,18,N/A,41
"# Households w/ Income $200000 and Over, 2008",0,51,5,26,95,15,48,15,23,N/A,67
"# Households w/ Income $200000 and Over, 2009",0,53,5,26,96,17,51,15,23,N/A,72
"# Households w/ Income $200000 and Over, 2010",4,0,60,82,140,0,60,34,16,1,115
"# Households w/ Income $200000 and Over, 2011",5,1,62,84,142,0,60,35,18,1,117
"# Households w/ Income $200000 and Over, 2021",23,22,78,91,133,26,128,53,25,0,282
"# Households w/ Income $200000 and Over, 2020",22,21,70,94,136,21,130,52,19,0,274
"# Households w/ Income $200000 and Over, 2019",18,18,63,90,133,13,140,46,12,0,249
"# Households w/ Income $200000 and Over, 2016",13,19,50,69,108,17,89,46,8,0,220
"# Households w/ Income $200000 and Over, 2015",12,18,58,74,112,14,123,43,14,0,199
"# Households w/ Income $200000 and Over, 2014",10,16,53,65,99,8,108,38,9,0,171
"# Households w/ Income $200000 and Over, 2013",8,0,62,59,154,4,143,31,8,0,137
"# Households w/ Income $200000 and Over, 2012",2,0,65,54,145,0,108,51,13,1,134
"# Households w/ Income $150000 to $199999, 2021",35,68,80,132,167,37,108,37,47,3,173
"# Households w/ Income $150000 to $199999, 2020",34,57,76,135,170,42,106,39,48,3,175
"# Households w/ Income $150000 to $199999, 2019",33,14,71,119,150,49,98,41,28,3,187
"# Households w/ Income $150000 to $199999, 2016",31,50,60,110,124,31,114,30,43,2,161
"# Households w/ Income $150000 to $199999, 2015",33,35,65,93,132,28,89,29,37,2,182
"# Households w/ Income $150000 to $199999, 2014",30,6,61,78,111,28,94,31,26,1,195
"# Households w/ Income $150000 to $199999, 2013",73,16,53,62,55,13,58,30,15,0,184
"# Households w/ Income $150000 to $199999, 2011",11,8,56,33,97,8,76,44,34,1,90
"# Households w/ Income $150000 to $199999, 2012",33,10,33,81,75,8,37,28,23,2,158
"# Households w/ Income $150000 to $199999, 2010",11,8,59,34,96,8,76,40,36,1,91
"# Households w/ Income $150000 to $199999, 2009",11,25,1,5,33,10,34,5,12,N/A,69
"# Households w/ Income $150000 to $199999, 2008",6,24,2,6,39,13,31,6,10,N/A,67
"# Households w/ Income $150000 to $199999, 2000",0,14,8,4,48,28,31,6,7,N/A,45
"# Households w/ Income $125000 to $149999, 2000",27,24,0,5,21,3,29,6,13,N/A,62
"# Households w/ Income $125000 to $149999, 2008",36,40,9,41,30,7,36,4,26,N/A,85
"# Households w/ Income $125000 to $149999, 2009",33,42,9,46,34,8,36,7,26,N/A,90
"# Households w/ Income $125000 to $149999, 2010",29,34,46,72,118,24,41,61,32,2,119
"# Households w/ Income $125000 to $149999, 2011",29,36,47,71,120,24,42,64,35,2,119
"# Households w/ Income $125000 to $149999, 2012",37,37,51,70,93,22,23,41,29,4,144
"# Households w/ Income $125000 to $149999, 2013",39,59,65,91,105,52,44,20,33,3,153
"# Households w/ Income $125000 to $149999, 2014",36,73,67,77,113,33,45,22,72,5,143
"# Households w/ Income $125000 to $149999, 2015",50,58,80,82,129,32,59,22,89,6,161
"# Households w/ Income $125000 to $149999, 2021",56,75,113,82,165,35,95,17,126,11,181
"# Households w/ Income $125000 to $149999, 2020",52,78,120,70,154,37,94,16,123,8,179
"# Households w/ Income $125000 to $149999, 2019",44,124,107,56,119,34,70,18,114,9,157
"# Households w/ Income $125000 to $149999, 2016",38,63,100,85,152,28,78,21,110,7,168
